Hour,Count ReTweet
0,355
5,209
10,635
14,815
20,619
1,338
6,256
21,674
9,606
13,789
2,353
17,734
22,693
12,772
7,379
3,306
18,716
16,767
11,673
23,475
8,494
19,666
4,222
15,880
