Day,Count Tweet
10,186
14,242
1,81
9,305
13,247
17,348
12,116
18,92
11,104
8,34
15,215
24,240
25,100
20,202
29,291
28,358
21,215
22,337
27,170
16,275
31,229
26,56
23,269
30,257
19,66
