Day,Count ReTweet
10,533
14,621
1,196
9,932
13,410
17,975
12,293
18,290
11,289
8,131
15,544
24,730
25,380
20,552
29,888
28,1066
21,591
22,813
27,410
16,527
31,493
26,148
23,783
30,633
19,198
