nroHashtag,nroTweets
0,4441
5,659
10,42
14,6
1,5509
6,357
21,2
9,56
13,6
2,3827
17,3
12,25
7,285
3,2051
18,1
16,6
11,35
8,107
19,1
4,1040
15,2
