Seguidores,Seguidos
2156,2100
2232,2062
71,53
17,46
17,46
18,65
4321,2855
351,733
841,618
3312,495
11179,184
4621,683
239,157
1576,296
174,305
185,676
185,676
5385,765
54,138
3176,647
5860,6107
963,419
2164,4889
699,795
699,795
3635,2371
2362,882
967,2864
10209,963
1720,2810
335,92
9475,588
628,400
456,1172
28802,18648
1147,860
115121,1524
13,57
8867,5548
444,457
845,1968
8420,2402
5065,733
748,2251
9475,588
4337,3603
789,349
3421,379
2610,526
160,206
990,4916
484,318
524,241
2029,987
21238,3394
30481,1701
268,215
5552,5622
2238,687
672,721
714,1464
2090,959
8212,1660
432,1616
714,1464
28,26
247,374
2219,1187
301,165
830,1179
3291,1001
3291,1001
2,17
5118,3564
174,176
12698,792
27435,817
2089,959
644,805
2004,1168
28802,18648
195,96
28802,18648
92,208
2359,2481
352,694
3127,1006
8831,9661
2536,1137
550,688
136,57
136,57
4146,2081
8206,1482
146,102
667,496
409,643
3061,2754
197,438
6970,5853
487,986
173,614
558,2124
4393,4999
4393,4999
252,723
1976,796
462,371
435,278
6,66
28,34
4146,2080
2120,353
1595,2117
2583,614
2029,987
106,788
712,620
4560,1141
939,1756
124,40
127,679
1792,596
5940,289
4030,1856
4030,1856
2913,1121
4033,968
988,64
2535,1137
809,288
2004,1846
2004,1846
1414,800
1286,4316
52,86
158,246
365,329
3503,965
246,669
483,1952
850,730
78,212
133,726
1711,498
14114,3266
615,534
1595,2117
1595,2117
41,49
713,533
68,78
8212,1660
9424,1138
232,543
543,1238
38875,1623
349,850
291,376
543,1238
673,768
543,1238
182,504
713,533
2561,3431
1384,324
16984,3446
972,1556
972,1556
3043,1758
1342,466
1059,1236
2274,563
549,870
2683,4923
2683,4923
1763,658
1763,658
4155,1349
5200,4320
324,398
3043,1758
76,133
40226,1332
215,194
3043,1758
547,870
547,870
111,295
2113,2620
157,204
282,371
938,1753
297,374
16400,4471
1379,357
1062,1765
547,870
180,2331
8707,3528
190,518
938,1753
1492,1720
157,204
11902,5911
374,818
2825,735
1893,645
157,204
2825,735
2676,910
181,443
2950,1399
575,355
470,955
470,955
742,571
10757,7760
532,365
1960,1801
1960,1801
403,1434
1281,1801
48,310
585,470
10367,553
15194,345
7194,6345
7194,6345
4622,683
12213,671
12213,671
681,484
1484,1003
7897,1774
1556,1532
362,516
362,516
1373,5001
32306,2156
28801,18648
166,433
166,433
789,220
789,220
366,579
4708,696
546,770
3816,4231
47233,2908
1752,1502
6786,795
2172,1436
21,40
21,40
16696,14966
1010,744
52,100
157,204
157,204
102,120
16696,14966
328,302
103,132
347,362
4529,2485
3914,2160
457,621
457,621
899,1331
457,621
1447,2093
57,17
1926,3033
1366,3527
1182,951
781,779
1065,613
142,263
142,263
28803,18648
71,127
369,1162
5270,3260
1092,541
274,355
274,355
164,210
100,165
513,627
239,376
4,129
4,129
239,376
79,287
453,1873
453,1873
1103,1774
10,15
898,1704
978,3067
20,136
226,157
190,347
11613,4622
692,647
1981,2037
149,508
40,61
40,61
514,255
917,465
86,204
21305,2189
891,2100
505,251
3363,4940
946,2435
1831,1410
2178,1380
28803,18647
41166,1341
146,345
334,218
15,194
153,313
10266,125
2003,1167
27187,2822
570,1121
570,1121
1906,1179
25,105
87,211
5,17
5,17
5,17
5,17
5,17
5429,856
29738,8323
113,45
58,100
106,70
322,948
2100,1522
