Hour,Count Tweet
0,101
5,71
10,334
14,310
20,204
1,113
6,75
21,184
9,366
13,245
2,62
17,302
22,186
12,314
7,121
3,40
18,267
16,336
11,385
23,143
8,247
19,227
4,44
15,358
